Fighter,Label
Alexandra Albu,78
Benito Lopez,203
Damir Ismagulov,463
Damir Hadzovic,462
Dwight Grant,595
Daniel Teymur,489
Gina Mazany,729
Edmen Shahbazyan,606
Alex Morono,60
Grant Dawson,737
Blagoy Ivanov,216
Mike Grundy,1430
Molly McCann,1469
Nicolae Negumereanu,1524
Ryan MacDonald,1764
Bryce Mitchell,274
Marina Rodriguez,1323
Sabina Mazo,1768
Sodiq Yusuff,1850
Kennedy Nzechukwu,1143
Brandon Davis,236
Lauren Mueller,1201
Montel Jackson,1471
Boston Salmon,228
Max Griffin,1381
Jalin Turner,845
Sultan Aliev,1880
Movsar Evloev,1479
Magomed Mustafaev,1277
Alexander Yakovlev,76
Sergei Pavlovich,1805
Kyle Nelson,1187
Macy Chiasson,1271
Marc-Andre Barriault,1301
Luana Carolina,1238
Thiago Moises,1926
Megan Anderson,1388
Tonya Evinger,1968
Joel Alvarez,973
Bea Malecki,191
Darko Stosic,506
Rostem Akman,1746
Bevon Lewis,211
Allen Crowder,92
Deron Winn,543
Ariane Lipski,158
Andrea Lee,114
Andre Ewell,106
Emily Whitmire,628
Dalcha Lungiambula,457
Julia Avila,1071
Ismail Naurdiev,810
Caludia Gadelha,289
Marvin Vettori,1349
Germaine De Randamie,719
Domingo Pilarte,563
Mario Bautista,1324
Miranda Granger,1454
Jordan Espinosa,1016
Antonina Shevchenko,145
Kazula Vargas,1134
Ciryl Gane,396
Luiz Garagorri,1257
Rogerio Bontorin,1720
Vincente Luque,2021
Rodolfo Vieira,1711
Hannah Cifers,753
Manny Bermudez,1291
Christos Giagos,392
Junyong Park,1089
Karol Rosa,1124
Heili Alateng,764
Da Un Jung,450
Don Madge,568
Ottman Azaitar,1559
Liana Jojua,1219
Cole Smith,421
Kyle Prepolec,1189
Michel Pereira,1413
Vinicius Moreira,2022
Marco Polo Reyes,1313
Caludio Puelles,290
Ariane Carnelossi,157
Alen Amedovski,50
Jack Shore,829
Michal Oleksiejczuk,1410
Mark Madsen,1335
Nadia Kassem,1488
Brad Riddell,232
Justin Tafa,1100
Miguel Baeza,1424
Mike Davis,1428
Ryan Spann,1766
Randy Costa,1642
Brendan Allen,243
Dominick Reyes,566
Daniel Spitz,487
Raphael Pessoa Nunes,1648
Loma Lookboonmee,1229
Frank Camacho,682
Abubakar Nurmagomedov,16
Roman Kopylov,1728
Grigorii Popov,743
Shamil Gamzatov,1819
